Date,Decile 1,Decile 2,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,High 10,
11/1/1936, 146 , 103 , 246 , 121 , 156 , 179 , 101 , 92 , 96 , 149 
12/1/1936," 5,480 "," 4,511 "," 2,654 ", 225 ," 9,523 "," 3,438 "," 1,823 "," 4,633 ", 251 ," 1,808 "
1/1/1937, 201 , 133 , 245 , 113 , 225 , 105 , 412 , 200 , 226 , 112 
2/1/1937," 17,911 "," 1,749 "," 8,355 ", 530 ," 2,628 "," 2,093 "," 1,901 "," 5,994 ", 840 , 225 
3/1/1937, 761 ," 7,648 "," 10,955 "," 8,641 "," 7,743 "," 227,234 "," 6,913 "," 19,978 "," 53,851 "," 1,869 "
4/1/1937, 59 , 90 , 116 , 140 , 100 , 122 , 119 , 86 , 65 , 38 
5/1/1937, 430 ," 2,286 "," 1,063 "," 91,524 "," 1,008 "," 1,063 "," 1,768 "," 2,308 "," 4,820 "," 2,220 "
6/1/1937, 77 , 153 , 182 , 185 , 316 , 193 , 184 , 146 , 211 , 89 
7/1/1937, 50 , 136 , 122 , 130 , 119 , 125 , 123 , 127 , 112 , 88 
8/1/1937, 144 , 410 , 269 , 388 , 483 , 841 , 499 , 272 , 214 , 267 
9/1/1937, 18 , 26 , 34 , 33 , 27 , 26 , 21 , 18 , 14 , 11 
10/1/1937, 137 , 105 , 114 , 71 , 89 , 104 , 110 , 76 , 73 , 56 
11/1/1937, 48 , 66 , 81 , 76 , 84 , 100 , 82 , 97 , 84 , 58 
12/1/1937, 24 , 71 , 69 , 41 , 125 , 127 , 151 , 173 , 133 , 168 
1/1/1938, 100 , 230 , 910 , 432 ," 6,691 ", 501 ," 1,258 "," 1,451 ", 859 ," 4,571 "
2/1/1938, 295 , 291 , 653 , 136 , 193 , 186 , 232 , 333 , 314 , 715 
3/1/1938, 4 , 6 , 6 , 7 , 7 , 9 , 10 , 12 , 18 , 29 
4/1/1938, 22 , 15 , 21 , 21 , 26 , 33 , 39 , 36 , 59 , 62 
5/1/1938, 119 , 83 , 87 , 118 , 98 , 151 , 288 , 264 , 573 ," 66,003 "
6/1/1938, 10 , 8 , 10 , 9 , 9 , 11 , 15 , 20 , 37 , 103 
7/1/1938, 24 , 77 , 51 , 71 , 74 , 79 , 100 , 92 , 178 , 284 
8/1/1938, 56 , 122 , 164 , 137 , 141 , 320 , 317 , 635 , 748 ," 10,747 "
9/1/1938, 816 , 883 ," 1,277 "," 11,966 "," 1,709 "," 3,703 "," 22,805 "," 147,544 "," 127,908 "," 346,609 "
10/1/1938, 35 , 38 , 34 , 38 , 68 , 55 , 99 , 122 , 103 , 68 
11/1/1938, 44 ," 2,078 ", 239 , 290 , 388 ," 2,868 "," 17,645 "," 2,931 "," 2,747 "," 34,479 "
12/1/1938," 2,976 "," 4,337 "," 13,027 "," 1,130 "," 1,175 "," 1,409 ", 451 , 738 , 395 , 251 
1/1/1939, 433 , 169 , 203 , 179 , 176 , 179 , 115 , 147 , 94 , 104 
2/1/1939," 4,394 "," 1,369 ", 774 , 591 , 701 , 799 , 468 , 412 , 337 , 233 
3/1/1939, 25 , 29 , 30 , 36 , 27 , 24 , 33 , 35 , 23 , 19 
4/1/1939," 1,487 "," 8,806 "," 4,437 "," 12,457 "," 6,913 "," 4,623 "," 6,279 "," 51,880 "," 13,637 ", 742 
5/1/1939, 284 , 296 , 140 , 153 , 186 , 123 , 165 , 172 , 97 , 72 
6/1/1939, 117 , 111 , 70 , 148 , 141 , 162 , 135 , 178 , 139 , 130 
7/1/1939, 68 , 54 , 56 , 45 , 59 , 63 , 86 , 68 , 97 , 46 
8/1/1939, 60 , 49 , 65 , 57 , 63 , 72 , 108 , 95 , 209 , 144 
9/1/1939, 2 , 5 , 5 , 7 , 12 , 16 , 17 , 41 , 32 , 51 
